fecha|ultimo|apertura|maximo|minimo|vol
11.06.2021|211.64|213.45|213.46|211.00|12.28M
10.06.2021|213.07|213.24|214.79|212.24|10.74M
09.06.2021|213.32|215.16|216.51|213.32|10.23M
08.06.2021|215.82|216.79|218.23|214.75|9.44M
07.06.2021|216.90|217.92|218.00|215.70|9.93M
04.06.2021|219.02|218.28|219.08|217.14|9.00M
03.06.2021|217.04|218.34|218.70|216.31|12.45M
02.06.2021|219.59|219.43|219.94|217.46|13.09M
01.06.2021|219.48|223.02|223.13|218.24|22.96M
28.05.2021|213.96|212.76|214.53|212.06|10.40M
27.05.2021|212.74|213.99|215.41|212.60|18.68M
26.05.2021|211.78|212.22|213.74|211.54|9.41M
25.05.2021|211.13|212.95|214.00|211.06|14.12M
24.05.2021|210.44|209.99|212.00|208.73|15.88M
21.05.2021|211.06|215.23|215.89|209.87|22.83M
20.05.2021|216.99|213.15|217.63|212.75|19.12M
19.05.2021|212.54|210.98|212.88|210.18|17.03M
18.05.2021|213.72|212.50|215.17|211.42|19.46M
17.05.2021|211.05|210.17|213.13|209.49|20.53M
14.05.2021|209.51|209.92|210.94|206.02|31.63M
13.05.2021|206.08|212.97|215.44|204.42|51.69M
12.05.2021|219.90|224.91|225.13|219.10|20.37M
11.05.2021|221.38|213.94|221.38|213.00|13.89M
10.05.2021|219.53|222.01|222.01|218.60|17.27M
07.05.2021|225.31|227.90|228.79|225.05|10.55M
06.05.2021|226.42|227.03|228.42|223.00|12.25M
05.05.2021|226.78|228.00|228.91|226.73|7.24M
04.05.2021|227.90|230.25|231.48|225.45|13.26M
03.05.2021|230.71|231.27|236.17|230.41|13.62M
20.04.2021|229.68|232.51|234.59|228.47|9.92M
19.04.2021|234.78|237.10|238.34|232.81|11.22M
16.04.2021|238.69|241.89|241.89|237.82|14.42M
15.04.2021|239.09|240.02|240.88|238.14|11.29M
14.04.2021|239.23|244.49|244.99|238.67|12.41M
13.04.2021|241.89|243.53|245.64|239.79|20.79M
12.04.2021|244.01|237.83|244.91|236.68|57.50M
09.04.2021|223.31|224.50|224.74|221.36|19.76M
08.04.2021|228.24|228.50|229.42|226.62|12.21M
07.04.2021|225.42|226.74|228.16|224.85|18.03M
06.04.2021|230.57|226.35|232.00|225.75|18.10M
05.04.2021|225.30|226.29|226.29|222.54|14.96M
01.04.2021|224.36|230.68|231.25|223.50|23.50M
31.03.2021|226.73|229.80|231.51|226.54|16.83M
30.03.2021|229.25|229.71|230.32|226.76|14.83M
29.03.2021|231.86|225.59|232.38|225.17|18.03M
26.03.2021|227.26|222.00|229.24|220.42|22.03M
25.03.2021|222.72|224.85|229.20|222.58|24.82M
24.03.2021|229.59|236.94|237.20|229.24|15.95M
23.03.2021|237.67|237.00|241.11|235.55|12.30M
22.03.2021|237.12|235.32|238.46|235.32|12.06M
19.03.2021|239.79|239.66|241.6|236.88|15.96M
18.03.2021|236.43|238.56|239.5|235.56|14.81M
17.03.2021|233.34|226.5|235.63|225.81|16.83M
16.03.2021|226.93|228.18|229.85|225.54|19.34M
15.03.2021|230.28|228.05|230.42|226.26|14.52M
14.03.2021|231.87|231.87|231.87|231.87|-
12.03.2021|231.87|233.55|233.91|229.71|17.78M
11.03.2021|240.8|236.82|241.71|235.06|15.16M
10.03.2021|234.3|240.99|241.21|233.67|10.49M
09.03.2021|238.14|233.49|238.74|233.49|15.29M
08.03.2021|226.69|228.41|230.72|226.54|17.14M
05.03.2021|233.89|235.42|236.43|228.34|15.99M
04.03.2021|230.5|234.57|236.31|228.4|22.96M
03.03.2021|236.27|237.67|239.57|234.54|13.57M
02.03.2021|234.42|238.59|241.2|234.39|14.64M
01.03.2021|241.69|241.19|242.77|239.26|14.04M
26.02.2021|237.76|244.63|244.9|237.65|17.47M
25.02.2021|240.18|250.02|250.3|240.1|17.97M
24.02.2021|250.34|252|252|248.1|12.83M
23.02.2021|252.75|247.98|254.9|241.69|15.98M
22.02.2021|254|257.99|259.39|254|14.40M
19.02.2021|263.59|266.05|269.39|262.85|14.72M
18.02.2021|264.51|264.96|266.14|262.33|15.38M
17.02.2021|270.83|270.89|272.32|267.81|12.99M
16.02.2021|270.7|271|274.29|270.4|16.57M
12.02.2021|267.85|269.09|270.25|265.68|9.36M
11.02.2021|268.93|268.75|274.26|267.2|15.00M
10.02.2021|267.79|268.7|270.4|264.6|12.86M
09.02.2021|266.49|263|267.2|262.54|12.30M
08.02.2021|262.59|264.98|265|261.82|10.52M
05.02.2021|265.67|264.61|266.45|263.21|11.02M
04.02.2021|266.96|269.5|269.7|265.57|16.76M
03.02.2021|263.43|264.79|268.14|261.33|29.18M
02.02.2021|254.5|264.45|264.45|254.2|30.53M
01.02.2021|264.69|257.74|264.99|255.33|15.29M
29.01.2021|253.83|256.03|258.9|252.3|14.69M
28.01.2021|260.76|259.39|261.55|257.47|10.24M
27.01.2021|260.25|265|265.82|260|16.05M
26.01.2021|265.92|263.74|265.92|261.16|14.68M
25.01.2021|261.38|263.9|265.12|257.85|19.48M
22.01.2021|258.62|256.8|260.33|255.5|13.52M
21.01.2021|260|264.13|264.6|257.9|20.71M
20.01.2021|265.49|267.5|269|262.7|44.64M
19.01.2021|251.65|249.62|252.88|247|23.68M
15.01.2021|243.46|246.25|246.99|242.15|21.56M
14.01.2021|242.98|245.5|245.7|241.53|31.38M
13.01.2021|235.3|229.79|240.45|226.3|38.81M
12.01.2021|225.6|227.37|229.61|225.25|19.04M
11.01.2021|227.37|229.42|230.74|225.98|23.04M
08.01.2021|236.19|227.88|238.5|227.61|34.88M
07.01.2021|226.9|229.03|229.9|220.13|49.36M
06.01.2021|227.61|234.99|238.25|225.99|37.15M
05.01.2021|240.4|228.17|240.73|228.17|35.82M
04.01.2021|227.85|226.68|230.24|225.05|24.90M
31.12.2020|232.73|237.46|238.92|231.03|23.45M
30.12.2020|238.39|242.35|242.41|234.66|44.81M
29.12.2020|236.26|231.51|239.13|229.85|69.72M
28.12.2020|222.36|216.84|224.91|215.37|73.51M
24.12.2020|222|228.24|229.9|211.23|141.83M
23.12.2020|256.18|255.23|257.34|252.54|10.73M
22.12.2020|255.83|257.73|258.34|255.43|11.49M
21.12.2020|260.43|254.84|260.44|254.54|10.90M
18.12.2020|260|263.9|264.9|259.2|15.98M
17.12.2020|264.43|264.82|264.82|260.38|14.31M
16.12.2020|261.89|257.76|263.18|257.32|15.80M
15.12.2020|255.11|255.5|255.5|252.33|16.60M
14.12.2020|256.03|260.1|260.7|256.03|18.37M
11.12.2020|264.54|264.29|265.32|262.5|7.77M
10.12.2020|264.87|262.32|266.04|261.35|10.29M
09.12.2020|263.8|267.56|267.91|263.1|8.95M
08.12.2020|266.09|265.65|268.29|263.91|9.45M
07.12.2020|264|265.44|265.91|262.68|11.39M
04.12.2020|267.25|271.02|271.3|266.27|15.53M
03.12.2020|266.91|263.61|268.51|263.22|15.52M
02.12.2020|261.32|262|262.98|260.18|13.92M
01.12.2020|264.01|265.47|265.67|261.57|14.08M
30.11.2020|263.36|268.65|268.89|262.62|30.48M
27.11.2020|276.48|278.38|278.79|275.78|9.58M
25.11.2020|277.72|275.7|279.33|274.05|15.23M
24.11.2020|279.96|276|280.19|272.81|20.66M
23.11.2020|270.11|274.82|275.39|266.5|25.32M
20.11.2020|270.74|263.97|272.37|261.9|34.18M
19.11.2020|259.89|254.82|261.4|253.6|20.75M
18.11.2020|255.83|257.76|258.29|252.63|28.31M
17.11.2020|256.8|260.28|260.28|256.54|19.56M
16.11.2020|258.31|260.42|262.57|257.03|20.30M
13.11.2020|260.84|265|265|257.27|33.92M
12.11.2020|264.31|270.89|271.2|263.06|27.18M
11.11.2020|265.65|261.66|271.88|261.4|41.70M
10.11.2020|266.54|279.74|279.74|264.6|61.06M
09.11.2020|290.53|303.87|303.87|290.53|22.56M
06.11.2020|299.95|291.49|300.89|289.79|25.26M
05.11.2020|287.75|289.83|290.67|279.62|49.89M
04.11.2020|295.71|288.1|299.15|285.5|28.79M
03.11.2020|285.57|286.11|294.28|280.87|58.13M
02.11.2020|310.84|311.18|311.18|305.6|11.86M
30.10.2020|304.69|308.55|310.83|300.19|14.92M
29.10.2020|312.56|309.44|315.58|308.91|11.17M
28.10.2020|307.94|312.11|312.87|306.15|13.64M
27.10.2020|317.14|307.39|319.28|305.73|13.18M
26.10.2020|306.87|309.5|315.32|303.28|9.35M
23.10.2020|309.92|307.27|310.33|304.06|6.23M
22.10.2020|306.28|310.81|311.25|304.24|8.01M
21.10.2020|307.97|311.85|313.95|307.7|11.14M
20.10.2020|309.81|308.02|311.8|307.11|8.81M
19.10.2020|305.29|309.52|313.48|303.46|14.11M
16.10.2020|307.31|304.07|310|303|12.35M
15.10.2020|299.46|293.57|299.86|292.79|9.71M
14.10.2020|301.04|309|309.96|300.8|14.76M
13.10.2020|308.78|306.62|310|303.04|10.90M
12.10.2020|306.34|303.84|309.59|301.43|14.78M
